station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,mode,line
South 19 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,3711,11504,11504,19149,11504,11504,19149,-122.43968,47.24486,at grade,planned,,South 19 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 23 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,3174,8607,8622,13325,8607,8775,13508,-122.43914,47.24064,at grade,planned,,South 23 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 23 Street-RapidRide I-Arterial Rapid Transit-planned,797,797,2767,797,797,797,2767,-122.21207,47.45931,at grade,planned,,South 23 Street,Arterial Rapid Transit,RapidRide I
South 26 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,536,4976,4976,8983,4976,4976,8983,-122.43513,47.23802,at grade,planned,,South 26 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 32 Street-RapidRide I-Arterial Rapid Transit-planned,693,693,2172,693,693,693,2172,-122.21136,47.45069,at grade,planned,,South 32 Street,Arterial Rapid Transit,RapidRide I
South 34 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,2661,9011,9034,13514,9011,10275,14477,-122.43403,47.23022,at grade,planned,,South 34 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 38 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,775,1198,1990,1354,1198,1573,2464,-122.43407,47.22305,at grade,planned,,South 38 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 43 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,2040,2082,7678,2132,2082,2106,7732,-122.43402,47.2184,at grade,planned,,South 43 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 48 Court-RapidRide I-Arterial Rapid Transit-planned,623,767,2072,915,767,803,2256,-122.21117,47.4458,at grade,planned,,South 48 Court,Arterial Rapid Transit,RapidRide I
South 4th-Link T Line-Streetcar-uc,11452,16523,16523,22448,16523,16523,22448,-122.44262,47.2612,at grade,uc,,South 4th,Streetcar,Link T Line
South 50 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,2277,2408,7748,2560,2408,2521,7947,-122.43396,47.21178,at grade,planned,,South 50 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 56 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1737,2163,7074,2437,2163,2262,7423,-122.4339,47.20631,at grade,planned,,South 56 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 64 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1913,1968,7494,1988,1968,1998,7528,-122.43397,47.19915,at grade,planned,,South 64 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 72 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1470,3791,7581,6266,3791,5231,10074,-122.43404,47.19185,at grade,planned,,South 72 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 78 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,2054,2530,5896,3497,2530,3084,6959,-122.43407,47.18608,at grade,planned,,South 78 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 84 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1665,2226,5951,2712,2226,2534,6643,-122.43407,47.18096,at grade,planned,,South 84 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South 96 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1203,3652,5218,5967,3652,7485,10991,-122.43407,47.17009,at grade,planned,,South 96 Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
South Bellevue-Blue Line (East Link)-Light Rail-uc,637,638,2147,638,638,736,2245,-122.19042,47.58656,elevated,uc,,South Bellevue,Light Rail,Blue Line (East Link)
South Boeing Access Road-Link 1 Line-Light Rail-planned,132,133,423,133,165,133,455,-122.2823,47.50729,at grade,planned,,South Boeing Access Road,Light Rail,Link 1 Line
South Dash Point-RapidRide A-Bus Rapid Transit-existing,1121,1547,3856,2063,1547,1766,4512,-122.31217,47.33586,at grade,existing,2010,South Dash Point,Bus Rapid Transit,RapidRide A
South Federal Way-Tacoma Dome Link Extension-Light Rail-planned,908,917,1006,1137,2036,3660,4903,-122.30916,47.28232,elevated,planned,,South Federal Way,Light Rail,Tacoma Dome Link Extension
South Graham Street-Link 1 Line-Light Rail-planned,2611,5493,7194,7216,5493,6305,9550,-122.2856,47.54609,at grade,planned,,South Graham Street,Light Rail,Link 1 Line
South Kirkland-South Kirkland-Issaquah Link-Light Rail-planned,1057,1617,2094,1974,1617,2502,3308,-122.19434,47.64412,at grade,planned,,South Kirkland,Light Rail,South Kirkland-Issaquah Link
South Lake Union-Ballard Link Extension-Light Rail-planned,17258,45397,45397,79869,45397,45432,79904,-122.3423,47.62192,subway,planned,,South Lake Union,Light Rail,Ballard Link Extension
South Puget Drive-RapidRide I-Arterial Rapid Transit-planned,1439,1565,2258,1827,1565,2188,2881,-122.20783,47.46658,at grade,planned,,South Puget Drive,Arterial Rapid Transit,RapidRide I
South Renton Park and Ride-RapidRide F-Bus Rapid Transit-existing,200,326,326,572,326,356,590,-122.21607,47.47375,at grade,existing,2014,South Renton Park and Ride,Bus Rapid Transit,RapidRide F
South Renton Transit Center-Stride S1-Bus Rapid Transit-planned,528,14024,15220,27528,14024,14024,28724,-122.21376,47.46814,highway,planned,,South Renton Transit Center,Bus Rapid Transit,Stride S1
South Tacoma-Sounder-Commuter Rail-existing,664,1067,2149,1138,1067,1264,2400,-122.48553,47.20355,at grade,existing,2009,South Tacoma,Commuter Rail,Sounder
Sprague-TCC Tacoma Link Extension-Light Rail-planned,1163,1295,4348,1295,1295,1378,4431,-122.46663,47.24276,at grade,planned,,Sprague,Light Rail,TCC Tacoma Link Extension
Spring District/120th-Blue Line (East Link)-Light Rail-uc,5,1146,1146,2026,1146,1146,2026,-122.17859,47.62378,at grade,uc,,Spring District/120th,Light Rail,Blue Line (East Link)
SR 522/I-405 Transit Hub-Stride S2-Bus Rapid Transit-planned,238,2434,2464,2764,2434,2434,2794,-122.18959,47.76898,at grade,planned,,SR 522/I-405 Transit Hub,Bus Rapid Transit,Stride S2
SR 526/Evergreen-Everett Link Extension-Light Rail-planned,622,2773,4416,3389,2773,3117,5376,-122.22675,47.92321,at grade,planned,,SR 526/Evergreen,Light Rail,Everett Link Extension
SR 99/Airport Road-Everett Link Extension-Light Rail-planned,636,2941,3111,4446,2941,6703,8186,-122.25867,47.88963,elevated,planned,,SR 99/Airport Road,Light Rail,Everett Link Extension
St.  Joseph-Link T Line-Light Rail-uc,2436,26911,28947,50736,26911,28249,53211,-122.44996,47.24397,at grade,uc,,St.  Joseph,Light Rail,Link T Line
Stadium District-Link T Line-Streetcar-uc,6940,8467,8747,10337,8467,8924,10642,-122.44846,47.26462,at grade,uc,,Stadium District,Streetcar,Link T Line
Stadium-Red Line (Central Link)-Light Rail-existing,1291,1310,1312,1310,1310,1363,1365,-122.32716,47.59106,at grade,existing,2009,Stadium,Light Rail,Red Line (Central Link)
Stevens-TCC Tacoma Link Extension-Light Rail-planned,748,906,2875,1027,906,1235,3215,-122.49447,47.24291,at grade,planned,,Stevens,Light Rail,TCC Tacoma Link Extension
Sumner-Sounder-Commuter Rail-existing,780,863,2127,921,863,2235,3499,-122.24526,47.20098,at grade,existing,2001,Sumner,Commuter Rail,Sounder
SW 152-RapidRide F-Bus Rapid Transit-existing,8383,23553,25506,38321,23553,25545,41526,-122.34504,47.46678,at grade,existing,2014,SW 152,Bus Rapid Transit,RapidRide F
SW 7-RapidRide F-Bus Rapid Transit-existing,3799,5070,5603,6355,5070,6801,7334,-122.22328,47.47375,at grade,existing,2014,SW 7,Bus Rapid Transit,RapidRide F
SW Andover-RapidRide H-Bus Rapid Transit-proposed,1176,6516,6989,12182,6516,7151,12697,-122.36326,47.56835,at grade,proposed,,SW Andover,Bus Rapid Transit,RapidRide H
SW Avalon-RapidRide C-Bus Rapid Transit-existing,11581,17564,17991,25432,17564,17847,25859,-122.37621,47.56407,at grade,existing,2012,SW Avalon,Bus Rapid Transit,RapidRide C
SW Barton-RapidRide C-Bus Rapid Transit-existing,737,750,1961,750,750,750,1961,-122.39305,47.5232,at grade,existing,2012,SW Barton,Bus Rapid Transit,RapidRide C
SW Findlay-RapidRide C-Bus Rapid Transit-existing,3608,4597,6800,5931,4597,4989,8253,-122.38704,47.55211,at grade,existing,2012,SW Findlay,Bus Rapid Transit,RapidRide C
SW Findlay-RapidRide H-Bus Rapid Transit-proposed,3058,4193,5716,5879,4193,4748,7444,-122.36298,47.55194,at grade,proposed,,SW Findlay,Bus Rapid Transit,RapidRide H
SW Genesee-RapidRide H-Bus Rapid Transit-proposed,909,1316,1815,2056,1316,1508,2555,-122.36332,47.56478,at grade,proposed,,SW Genesee,Bus Rapid Transit,RapidRide H
SW Grady-RapidRide F-Bus Rapid Transit-existing,236,366,366,506,366,366,506,-122.22331,47.46983,at grade,existing,2014,SW Grady,Bus Rapid Transit,RapidRide F
SW Graham-RapidRide H-Bus Rapid Transit-proposed,1782,2506,3461,2568,2506,3648,4639,-122.36293,47.54674,at grade,proposed,,SW Graham,Bus Rapid Transit,RapidRide H
SW Henderson-RapidRide H-Bus Rapid Transit-proposed,3996,5550,7479,8296,5550,6629,10297,-122.3604,47.52294,at grade,proposed,,SW Henderson,Bus Rapid Transit,RapidRide H
SW Holden-RapidRide H-Bus Rapid Transit-proposed,3784,6351,7888,10615,6351,7147,12178,-122.36039,47.53355,at grade,proposed,,SW Holden,Bus Rapid Transit,RapidRide H
SW Holly-RapidRide H-Bus Rapid Transit-proposed,1387,1402,3067,1471,1402,1402,3136,-122.36119,47.54297,at grade,proposed,,SW Holly,Bus Rapid Transit,RapidRide H
SW Hudson-RapidRide H-Bus Rapid Transit-proposed,1556,1744,3050,2196,1744,1841,3502,-122.36289,47.55744,at grade,proposed,,SW Hudson,Bus Rapid Transit,RapidRide H
SW Myrtle-RapidRide C-Bus Rapid Transit-existing,2494,2718,4712,3363,2718,2964,5357,-122.39068,47.53974,at grade,existing,2012,SW Myrtle,Bus Rapid Transit,RapidRide C
SW Myrtle-RapidRide H-Bus Rapid Transit-proposed,1739,1900,3507,2214,1900,2111,3845,-122.36093,47.53919,at grade,proposed,,SW Myrtle,Bus Rapid Transit,RapidRide H
SW Rose-RapidRide C-Bus Rapid Transit-existing,1025,1030,2053,1030,1030,1030,2053,-122.3927,47.52976,at grade,existing,2012,SW Rose,Bus Rapid Transit,RapidRide C
SW Thistle-RapidRide H-Bus Rapid Transit-proposed,3117,3627,5903,5122,3627,3962,7410,-122.3604,47.52832,at grade,proposed,,SW Thistle,Bus Rapid Transit,RapidRide H
SW Webster-RapidRide C-Bus Rapid Transit-existing,1133,5512,6529,9653,5512,5678,10810,-122.39247,47.53591,at grade,existing,2012,SW Webster,Bus Rapid Transit,RapidRide C
Swamp Creek Park and Ride-Swift Orange Line-Arterial Rapid Transit-uc,1025,3260,4111,3918,3260,8021,9151,-122.27645,47.85002,at grade,uc,,Swamp Creek Park and Ride,Arterial Rapid Transit,Swift Orange Line
Swift Center-Swift Blue/Green Lines-Bus Rapid Transit-existing,1727,10264,10264,10867,10264,13143,13464,-122.258,47.88982,at grade,existing,2009,Swift Center,Bus Rapid Transit,Swift Blue/Green Lines
Tacoma Community College-TCC Tacoma Link Extension-Light Rail-planned,263,7352,7481,8252,7352,7970,8761,-122.52215,47.24273,at grade,planned,,Tacoma Community College,Light Rail,TCC Tacoma Link Extension
Tacoma Dome-Orange Line (Tacoma Link)/Sounder-Light Rail-existing,175,10986,10989,21792,10986,11075,21884,-122.42777,47.23963,at grade,existing,2003,Tacoma Dome,Light Rail,Orange Line (Tacoma Link)/Sounder
Tacoma Dome-Tacoma Dome Link Extension-Light Rail-planned,1062,4752,4752,8442,4752,4752,8442,-122.42805,47.24149,elevated,planned,,Tacoma Dome,Light Rail,Tacoma Dome Link Extension
Tacoma General-Link T Line-Streetcar-uc,1348,8906,9269,16560,8906,9350,17046,-122.45363,47.26052,at grade,uc,,Tacoma General,Streetcar,Link T Line
Terrace Street-RapidRide D-Bus Rapid Transit-existing,10918,29179,29179,54992,29179,29179,54992,-122.3279,47.60228,at grade,existing,2012,Terrace Street,Bus Rapid Transit,RapidRide D
Terry Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,35987,155503,155503,287773,155503,155815,288085,-122.32582,47.60907,at grade,proposed,,Terry Avenue,Bus Rapid Transit,Madison RapidRide G
Terry/Mercer-South Lake Union Line-Streetcar-existing,480,1935,1935,3870,1935,1935,3870,-122.33719,47.62432,at grade,existing,2007,Terry/Mercer,Streetcar,South Lake Union Line
Terry/Thomas-South Lake Union Line-Streetcar-existing,2096,38144,38144,76288,38144,38144,76288,-122.33721,47.62139,at grade,existing,2007,Terry/Thomas,Streetcar,South Lake Union Line
The Boulevard at South Station-RapidRide F-Bus Rapid Transit-existing,1373,1382,3542,2021,1382,2024,4184,-122.27705,47.46622,at grade,existing,2014,The Boulevard at South Station,Bus Rapid Transit,RapidRide F
The Landing-RapidRide F-Bus Rapid Transit-existing,3898,11861,11966,20871,11861,12330,21445,-122.20081,47.49811,at grade,existing,2014,The Landing,Bus Rapid Transit,RapidRide F
Theater District-S. 9th-Orange Line (Tacoma Link)-Streetcar-existing,1645,5157,5157,9530,5157,5157,9530,-122.44,47.2562,at grade,existing,2003,Theater District-S. 9th,Streetcar,Orange Line (Tacoma Link)
Tillicum-DuPont Sounder Extension-Commuter Rail-planned,490,583,1252,636,583,630,1337,-122.55746,47.11901,at grade,planned,,Tillicum,Commuter Rail,DuPont Sounder Extension
Titus Street-RapidRide I-Arterial Rapid Transit-planned,1467,1479,4291,1479,1479,1491,4303,-122.22568,47.3834,at grade,planned,,Titus Street,Arterial Rapid Transit,RapidRide I
Totem Lake/Kingsgate-Stride S2-Bus Rapid Transit-planned,3778,8236,9507,10881,8236,12663,16003,-122.18742,47.71839,highway,planned,,Totem Lake/Kingsgate,Bus Rapid Transit,Stride S2
Tukwila International Blvd-Red Line (Central Link)-Light Rail-existing,2050,2522,2522,3946,2522,4404,4404,-122.28774,47.46392,elevated,existing,2009,Tukwila International Blvd,Light Rail,Red Line (Central Link)
Tukwila International Boulevard-Stride S1-Bus Rapid Transit-planned,1414,1630,2214,1939,1630,2855,3439,-122.28793,47.46323,highway,planned,,Tukwila International Boulevard,Bus Rapid Transit,Stride S1
Tule Lake Road-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1037,5803,5803,9810,5803,11229,14219,-122.43455,47.13936,at grade,planned,,Tule Lake Road,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
U District-Red Line (Northgate Link)-Light Rail-existing,14317,25442,25481,37504,25442,27331,39003,-122.31409,47.66111,subway,existing,2021,U District,Light Rail,Red Line (Northgate Link)
Union Station-S. 19th-Orange Line (Tacoma Link)-Streetcar-existing,2899,5938,5938,9356,5938,5938,9356,-122.43662,47.24477,at grade,existing,2003,Union Station-S. 19th,Streetcar,Orange Line (Tacoma Link)
Union-TCC Tacoma Link Extension-Light Rail-planned,910,1250,3418,1442,1250,1700,3937,-122.48275,47.24284,at grade,planned,,Union,Light Rail,TCC Tacoma Link Extension
University of Washington-Red Line (University Link)-Light Rail-existing,203,205,366,205,205,207,368,-122.3037,47.64982,subway,existing,2016,University of Washington,Light Rail,Red Line (University Link)
University Street-Red Line (Central Link)-Light Rail-existing,5830,73364,73364,146728,73364,73364,146728,-122.33602,47.60783,subway,existing,2009,University Street,Light Rail,Red Line (Central Link)
Valley Medical Center-RapidRide I-Arterial Rapid Transit-planned,1196,7382,7520,13572,7382,7478,13806,-122.21283,47.44137,at grade,planned,,Valley Medical Center,Arterial Rapid Transit,RapidRide I
Vine Street-RapidRide D-Bus Rapid Transit-existing,50733,53674,53674,56810,53674,53674,56810,-122.34801,47.61659,at grade,existing,2012,Vine Street,Bus Rapid Transit,RapidRide D
Virginia-RapidRide C-Bus Rapid Transit-existing,38882,46526,46526,56031,46526,46526,56031,-122.34087,47.61243,at grade,existing,2012,Virginia,Bus Rapid Transit,RapidRide C
Walmart SuperCenter-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1109,4538,4538,7837,6673,11297,16546,-122.4193,47.07196,at grade,planned,,Walmart SuperCenter,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
Ward Street-RapidRide I-Arterial Rapid Transit-planned,96,780,780,1560,780,780,1560,-122.23108,47.38251,at grade,planned,,Ward Street,Arterial Rapid Transit,RapidRide I
West Alderwood-Everett Link Extension-Light Rail-planned,891,2298,3290,3524,2298,4280,6450,-122.27885,47.82181,elevated,planned,,West Alderwood,Light Rail,Everett Link Extension
West Armour-RapidRide D-Bus Rapid Transit-existing,4774,5174,5721,5965,11174,5604,12712,-122.37631,47.64475,at grade,existing,2012,West Armour,Bus Rapid Transit,RapidRide D
West Dravus-RapidRide D-Bus Rapid Transit-existing,5606,6315,7355,8657,6315,6653,9717,-122.37634,47.64846,at grade,existing,2012,West Dravus,Bus Rapid Transit,RapidRide D
West Emerson-RapidRide D-Bus Rapid Transit-existing,2510,3023,3315,3925,3065,3614,4528,-122.37613,47.65403,at grade,existing,2012,West Emerson,Bus Rapid Transit,RapidRide D
West Galer-RapidRide D-Bus Rapid Transit-existing,375,385,447,385,385,390,452,-122.3757,47.63229,at grade,existing,2012,West Galer,Bus Rapid Transit,RapidRide D
West Prospect-RapidRide D-Bus Rapid Transit-existing,2217,2281,3093,2494,2281,2362,3306,-122.37106,47.62866,at grade,existing,2012,West Prospect,Bus Rapid Transit,RapidRide D
West Valley Highway-RapidRide F-Bus Rapid Transit-existing,8,5248,5248,5248,5248,5248,5248,-122.24381,47.45686,at grade,existing,2014,West Valley Highway,Bus Rapid Transit,RapidRide F
West Wheeler-RapidRide D-Bus Rapid Transit-existing,4358,4874,5160,6301,4874,5402,6684,-122.37626,47.64066,at grade,existing,2012,West Wheeler,Bus Rapid Transit,RapidRide D
Westlake Hub-South Lake Union Line-Streetcar-existing,19,15352,15352,30704,15352,15352,30704,-122.33728,47.61289,at grade,existing,2007,Westlake Hub,Streetcar,South Lake Union Line
Westlake-Ballard Link Extension-Light Rail-planned,60504,125005,125005,196744,131627,125005,203366,-122.33608,47.61119,subway,planned,,Westlake,Light Rail,Ballard Link Extension
Westlake-Red Line (Central Link)-Light Rail-existing,9885,18525,18525,31645,18525,18525,31645,-122.33652,47.61166,subway,existing,2009,Westlake,Light Rail,Red Line (Central Link)
Westlake/7th-South Lake Union Line-Streetcar-existing,12859,63515,63515,120285,63515,63515,120285,-122.33781,47.61507,at grade,existing,2007,Westlake/7th,Streetcar,South Lake Union Line
Westlake/Denny-9th-South Lake Union Line-Streetcar-existing,27564,29524,29524,31764,29524,29524,31764,-122.33838,47.61802,at grade,existing,2007,Westlake/Denny-9th,Streetcar,South Lake Union Line
Westlake/Mercer-South Lake Union Line-Streetcar-existing,630,1935,1935,3870,1935,1935,3870,-122.33845,47.62428,at grade,existing,2007,Westlake/Mercer,Streetcar,South Lake Union Line
Westlake/Thomas-South Lake Union Line-Streetcar-existing,14655,23083,23083,39702,23083,23083,39702,-122.33846,47.62146,at grade,existing,2007,Westlake/Thomas,Streetcar,South Lake Union Line
Westwood Village-RapidRide C-Bus Rapid Transit-existing,785,1693,3254,2664,1693,2255,4225,-122.36738,47.52102,at grade,existing,2012,Westwood Village,Bus Rapid Transit,RapidRide C
Wilburton-Blue Line (East Link)-Light Rail-uc,180,1255,1255,2510,1255,1255,2510,-122.18377,47.61797,elevated,uc,,Wilburton,Light Rail,Blue Line (East Link)
Willis Street-RapidRide I-Arterial Rapid Transit-planned,1333,3372,5001,5513,3372,4011,7266,-122.23062,47.37778,at grade,planned,,Willis Street,Arterial Rapid Transit,RapidRide I
Yale Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,20353,47128,47172,73620,47128,47633,73934,-122.3309,47.62874,at grade,proposed,,Yale Avenue,Bus Rapid Transit,Roosevelt RapidRide
Yesler/Broadway-Yesler Terrace-First Hill Line-Streetcar-existing,6182,9397,9397,14480,9397,9684,14490,-122.32008,47.60169,at grade,existing,2016,Yesler/Broadway-Yesler Terrace,Streetcar,First Hill Line